Epochs,Method,Seed,Method_Acc,Best_Ind_Acc,Improvement
5,c2m3,42,0.055936325447711696,0.055936325447711696,0.0
5,c2m3,123,0.055936325447711696,0.055936325447711696,0.0
5,c2m3,456,0.055936325447711696,0.055936325447711696,0.0
5,c2m3,789,0.055936325447711696,0.055936325447711696,0.0
5,c2m3,101,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,42,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,123,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,456,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,789,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,101,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,42,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,123,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,456,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,789,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,101,0.055936325447711696,0.055936325447711696,0.0
5,median,42,0.055936325447711696,0.055936325447711696,0.0
5,median,123,0.055936325447711696,0.055936325447711696,0.0
5,median,456,0.055936325447711696,0.055936325447711696,0.0
5,median,789,0.055936325447711696,0.055936325447711696,0.0
5,median,101,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,42,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,123,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,456,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,789,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,101,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,42,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,123,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,456,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,789,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,101,0.055936325447711696,0.055936325447711696,0.0
10,simple_avg,42,0.055936325447711696,0.055936325447711696,0.0
