Epochs,Method,Mean,Std,Median,Min,Max,CI_Lower,CI_Upper,CI_Width
5,c2m3,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,c2m3,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,c2m3,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,c2m3,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,c2m3,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
5,fedavg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,fedavg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,fedavg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,fedavg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,fedavg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
5,simple_avg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,simple_avg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,simple_avg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,simple_avg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,simple_avg,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
5,median,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,median,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,median,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,median,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,median,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
5,Avg Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,Avg Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,Avg Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,Avg Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,Avg Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
5,Best Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
10,Best Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
15,Best Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
20,Best Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
25,Best Individual,0.055936325447711696,0.0,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.055936325447711696,0.0
