Epochs,Method,Mean,Std,Median,Min,Max,CI_Lower,CI_Upper,CI_Width
21,c2m3,0.07959319036038028,0.037749444867107636,0.07959319036038028,0.01680300685385806,0.12845456555383594,0.03272106371671476,0.12646531700404579,0.09374425328733102
23,c2m3,0.12084899403051072,0.06059291286045343,0.09307981428255582,0.056378509838602694,0.21534379836391776,0.04561295558538769,0.19608503247563375,0.15047207689024605
25,c2m3,0.06822905151448153,0.03563100859410239,0.057483970815830204,0.019013928808313065,0.12270616847225294,0.02398731092349559,0.11247079210546745,0.08848348118197186
27,c2m3,0.07977006411673668,0.041195925512370404,0.06389564448374972,0.023877957108114082,0.14348883484413,0.028618566535342296,0.13092156169813107,0.10230299516278878
29,c2m3,0.09290294052619943,0.035991310501072016,0.08202520451028078,0.061905814724740216,0.15918638072076055,0.04821382602884515,0.1375920550235537,0.08937822899470856
21,fedavg,0.04837497236347557,0.011974464340775781,0.04952465177979217,0.029847446385142605,0.06699093521998674,0.03350671109375949,0.06324323363319166,0.029736522539432174
23,fedavg,0.043024541233694445,0.010070355120706621,0.04930355958434667,0.029405261994251603,0.05438868007959319,0.03052054383118609,0.0555285386362028,0.02500799480501671
25,fedavg,0.06513376077824454,0.009683333370654404,0.06455892107008622,0.049966836170683177,0.08047755914216229,0.05311031434929783,0.07715720720719124,0.02404689285789341
27,fedavg,0.05394649568870219,0.017684611767252903,0.05416758788414769,0.025204510280787087,0.08003537475127127,0.03198814993509358,0.0759048414423108,0.04391669150721722
29,fedavg,0.06783108556267964,0.020246734331912934,0.0570417864249392,0.04930355958434667,0.10435551625027636,0.04269144446154716,0.09297072666381212,0.05027928220226496
21,simple_avg,0.04837497236347557,0.011974464340775781,0.04952465177979217,0.029847446385142605,0.06699093521998674,0.03350671109375949,0.06324323363319166,0.029736522539432174
23,simple_avg,0.043024541233694445,0.010070355120706621,0.04930355958434667,0.029405261994251603,0.05438868007959319,0.03052054383118609,0.0555285386362028,0.02500799480501671
25,simple_avg,0.06513376077824454,0.009683333370654404,0.06455892107008622,0.049966836170683177,0.08047755914216229,0.05311031434929783,0.07715720720719124,0.02404689285789341
27,simple_avg,0.05394649568870219,0.017684611767252903,0.05416758788414769,0.025204510280787087,0.08003537475127127,0.03198814993509358,0.0759048414423108,0.04391669150721722
29,simple_avg,0.06783108556267964,0.020246734331912934,0.0570417864249392,0.04930355958434667,0.10435551625027636,0.04269144446154716,0.09297072666381212,0.05027928220226496
21,Avg Individual,0.6453946495688702,0.012328759001770464,0.6483970815830201,0.6270616847225293,0.6592084899403051,0.6300864733738412,0.6607028257638992,0.030616352390058
23,Avg Individual,0.6307716117621048,0.016421000643602152,0.632876409462746,0.604023877957108,0.6494141056820694,0.6103822464484632,0.6511609770757465,0.04077873062728332
25,Avg Individual,0.6169091311076719,0.04753051392125726,0.6447048419190802,0.5416537696219322,0.665752818925492,0.5578922031555238,0.67592605905982,0.11803385590429616
27,Avg Individual,0.6188635861154101,0.028202177267263186,0.6183506522219765,0.5759893875746187,0.656953349546761,0.5838459579316888,0.6538812142991315,0.07003525636744268
29,Avg Individual,0.6534379836391775,0.016074165921452006,0.6626133097501659,0.6310855626796373,0.6683395976122044,0.6334792705133566,0.6733966967649984,0.03991742625164174
21,Best Individual,0.6744638514260446,0.011602264558832133,0.6774264868450144,0.6546539907141278,0.6862701746628344,0.6600577372257073,0.6888699656263819,0.028812228400674655
23,Best Individual,0.6722971479106786,0.012624654757905591,0.6699093521998674,0.6559805438868008,0.694450585894318,0.6566215686080353,0.6879727272133219,0.03135115860528659
25,Best Individual,0.6756577492814504,0.01316492173578839,0.6718991819588769,0.6601812956002653,0.696219323457882,0.6593113399229518,0.692004158639949,0.03269281871699725
27,Best Individual,0.6729604244970152,0.007198783612635411,0.6723413663497678,0.6641609551182843,0.6858279902719434,0.6640219540543466,0.6818988949396838,0.0178769408853372
29,Best Individual,0.6758788414768959,0.018094474875622515,0.6875967278355074,0.6515586999778907,0.6922396639398629,0.6534115834574329,0.698346099496359,0.044934516038926064
