Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.06867123590537254,0.01763234862810086,0.0570417864249392,0.055936325447711696,0.10148131770948486,0.046777783410082124,0.09056468840066295
5,fedavg,0.05266416095511829,0.017960743980356946,0.055936325447711696,0.03426929029405262,0.08290957329206279,0.030362951773754053,0.07496537013648252
5,simple_avg,0.05266416095511829,0.017960743980356946,0.055936325447711696,0.03426929029405262,0.08290957329206279,0.030362951773754053,0.07496537013648252
5,median,0.03864691576387354,0.012594417506088655,0.03426929029405262,0.01989829759009507,0.055936325447711696,0.02300888096821599,0.05428495055953109
5,Avg Individual,0.44246738890117177,0.04471407916326714,0.4351094406367456,0.37338049966836173,0.493168251160734,0.38694752659130977,0.49798725121103377
5,Best Individual,0.5532611098828212,0.03177598689561312,0.567322573513155,0.5138182622153438,0.5945169135529516,0.5138060109471437,0.5927162088184986
10,c2m3,0.038691134202962635,0.015146348431488465,0.032942737121379614,0.018350652221976564,0.0565996020340482,0.01988445865133332,0.05749780975459195
10,fedavg,0.043201414990050854,0.013812583400869334,0.04930355958434667,0.020561574176431573,0.055936325447711696,0.026050827459004458,0.06035200252109725
10,simple_avg,0.043201414990050854,0.013812583400869334,0.04930355958434667,0.020561574176431573,0.055936325447711696,0.026050827459004458,0.06035200252109725
10,median,0.035905372540349326,0.01354817182835781,0.03426929029405262,0.012381162944948043,0.04930355958434667,0.019083095339598934,0.05272764974109972
10,Avg Individual,0.6154676099933672,0.021120800303774744,0.6201193897855406,0.574839708158302,0.634446164050409,0.589242672642919,0.6416925473438155
10,Best Individual,0.6552288304222861,0.017309471632369105,0.6495688702188813,0.6338713243422507,0.6798585009949148,0.633736282668444,0.6767213781761282
15,c2m3,0.033031173999557815,0.013416926643136118,0.03426929029405262,0.018792836612867566,0.056157417643157195,0.016371859220234784,0.04969048877888085
15,fedavg,0.04899403051072297,0.007919422448781408,0.04952465177979217,0.03426929029405262,0.055936325447711696,0.03916076876950439,0.058827292251941554
15,simple_avg,0.04899403051072297,0.007919422448781408,0.04952465177979217,0.03426929029405262,0.055936325447711696,0.03916076876950439,0.058827292251941554
15,median,0.02639840813619279,0.013642373842421354,0.01989829759009507,0.012381162944948043,0.04930355958434667,0.009459163686021413,0.04333765258636417
15,Avg Individual,0.6461286756577493,0.01956029830238958,0.6464293610435552,0.6133097501658191,0.6742869776696883,0.621841357461546,0.6704159938539527
15,Best Individual,0.6764536811850542,0.012967090247605801,0.6796374087994694,0.6608445721866019,0.697103692239664,0.660352912063143,0.6925544503069655
20,c2m3,0.024718107450806985,0.011589449589997794,0.02034048198098607,0.007959319036038028,0.03913331859385364,0.010327905135909324,0.039108309765704646
20,fedavg,0.038381605129338935,0.01373735322502723,0.03625912005306213,0.016139730267521555,0.055936325447711696,0.021324428199214217,0.05543878205946365
20,simple_avg,0.038381605129338935,0.01373735322502723,0.03625912005306213,0.016139730267521555,0.055936325447711696,0.021324428199214217,0.05543878205946365
20,median,0.02639840813619279,0.013642373842421354,0.01989829759009507,0.012381162944948043,0.04930355958434667,0.009459163686021413,0.04333765258636417
20,Avg Individual,0.6531063453460094,0.009241759554755896,0.6567322573513155,0.6350210037585674,0.6605792615520671,0.6416311852268134,0.6645815054652054
20,Best Individual,0.6794163166040239,0.007069420788577946,0.6798585009949148,0.6679195224408578,0.6891443732036259,0.6706384713226934,0.6881941618853544
25,c2m3,0.022020782666371874,0.012397418342646287,0.01680300685385806,0.01127570196772054,0.04576608445721866,0.006627354639636972,0.03741421069310678
25,fedavg,0.03502100375856733,0.020705186718799395,0.04930355958434667,0.004200751713464515,0.055936325447711696,0.009312118833747347,0.060729888683387315
25,simple_avg,0.03502100375856733,0.020705186718799395,0.04930355958434667,0.004200751713464515,0.055936325447711696,0.009312118833747347,0.060729888683387315
25,median,0.019677205394649566,0.01554641336902005,0.016139730267521555,0.003979659518019014,0.04930355958434667,0.000373783613143646,0.03898062717615548
25,Avg Individual,0.6562989166482422,0.006280537786407837,0.6577492814503648,0.6464293610435552,0.6629670572628786,0.6485005989895013,0.6640972343069832
25,Best Individual,0.6787088215785981,0.009451167701378818,0.6752155648905593,0.6663718770727394,0.6909131107671899,0.6669736469028098,0.6904439962543865
